Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-ER 1812d,KNM-ER 1812,D,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 6m,1.78-1.94,1.60-1.64,P,Radius head,H. erectus,H. ergaster,NTN,W. Mangao,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009",east
KNM-ER 1813a,KNM-ER 1813,A,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 11m,1.84-1.92,~1.65,C,Skull,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009; Phillips et al., 2023",east
KNM-ER 1813b,KNM-ER 1813,B,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 11m,1.84-1.92,~1.65,C,Cranial frags.,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009; Phillips et al., 2023",east
KNM-ER 1814a,KNM-ER 1814,A,1973,1974,1985,12,Kenya,Koobi Fora,127,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,T,Lower i crown,Homo sp.,Homo sp.,SPI,N. Mutiwa,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1814b,KNM-ER 1814,B,1973,1974,1985,12,Kenya,Koobi Fora,127,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,T,Rp3,Homo sp.,Homo sp.,SPI,N. Mutiwa,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1814c,KNM-ER 1814,C,1973,1974,1985,12,Kenya,Koobi Fora,127,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,T,Rp4,Homo sp.,Homo sp.,SPI,N. Mutiwa,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1814d,KNM-ER 1814,D,1973,1974,1985,12,Kenya,Koobi Fora,127,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,T,Rm1,Homo sp.,Homo sp.,SPI,N. Mutiwa,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1814e,KNM-ER 1814,E,1973,1974,1985,12,Kenya,Koobi Fora,127,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,T,Rm2,Homo sp.,Homo sp.,SPI,N. Mutiwa,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1814f,KNM-ER 1814,F,1973,1974,1985,12,Kenya,Koobi Fora,127,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,T,Rm3 mes. half,Homo sp.,Homo sp.,SPI,N. Mutiwa,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1816a,KNM-ER 1816,A,1973,1974,1976,3,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,M,L juvenile mandibular frag. with teeth,P. boisei,P. boisei,CTA,B.A. Wood,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1816b,KNM-ER 1816,B,1973,1974,1976,3,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lm1 root,P. boisei,P. boisei,CTA,B.A. Wood,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1816c,KNM-ER 1816,C,1973,1974,1976,3,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lm2 germ,P. boisei,P. boisei,CTA,B.A. Wood,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1816d,KNM-ER 1816,D,1973,1974,1976,3,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lp4 germ,P. boisei,P. boisei,CTA,B.A. Wood,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1816e,KNM-ER 1816,E,1973,1974,1976,3,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,M,R mandibular body frag.,P. boisei,P. boisei,CTA,B.A. Wood,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1816f,KNM-ER 1816,F,1973,1974,1976,3,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Rp4 germ,P. boisei,P. boisei,CTA,B.A. Wood,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1817,KNM-ER 1817,#,1973,1974,1991,18,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN - 2m,1.55-1.65,1.46-1.54,M,L mandibular body frag.,Hominine GSI,Hominine GSI,GSI,A. Kilonzo,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1818,KNM-ER 1818,#,1973,1974,1985,12,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,LI1,P. cf. P. boisei,P. cf. P. boisei,UTA,M. Muluila,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 1819,KNM-ER 1819,#,1973,1974,1985,12,Kenya,Ileret,3,#,Koobi Fora,KBS,#,1.67-1.87,1.67-1.87,T,Lm3,P. boisei,P. boisei,CTA,B. Ngeneo,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1820,KNM-ER 1820,#,1973,1974,1976,3,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 7m,1.65-1.75,1.57-1.65,M,L mandible frag. with teeth,P. boisei,P. boisei,CTA,K. Kimeu,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989 ; McDougall et al., 2012",east
KNM-ER 1821,KNM-ER 1821,#,1972,1991,1991,19,Kenya,Koobi Fora,123,#,Koobi Fora,KBS,A6 + 2m,1.65-1.75,1.55-1.63,C,Small parietal frag.,cf. H. aff. H. ergaster,cf. H. aff. H. erectus,UTA,N. Mutiwa,"Wood, 1991",Wood 1991,"Wood, 1991","Feibel et al., 1989 ; McDougall et al., 2012",east
KNM-ER 1822,KNM-ER 1822,#,1973,1976,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 5m,1.78-1.94,1.60-1.64,T,"Femur diaphysis frag., probably R",Hominine GSI,Hominine GSI,GSI,K. Kimeu,"Day et al., 1976","Day et al., 1976","McHenry, 1994","Feibel et al., 2009; Gathogo and Brown, 2006; Phillips et al., 2023",east
KNM-ER 1823,KNM-ER 1823,#,1971,1976,1976,5,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,P,Metatarsal prox. frag.,P. boisei,P. boisei,CTA,Team,"Day et al., 1976","Day et al., 1976","McHenry, 1994","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1824,KNM-ER 1824,#,1971,1994,#,#,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,P,R humerus dist. frag.,Hominine GSI,Hominine GSI,GSI,Team,"McHenry, 1994",Undescribed,"McHenry, 1994","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1825,KNM-ER 1825,#,1971,1985,1985,14,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,P,Atlas frag.,P. boisei,P. boisei,CTA,Team,"Leakey and Walker, 1985","Leakey and Walker, 1985","McHenry, 1994","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 2592a,KNM-ER 2592,A,1974,1976,1991,17,Kenya,Ileret,6,#,Koobi Fora,Okote,OKT Mb,1.49-1.65,1.38-1.56,C,Parietal frag.,cf. H. aff. H. ergaster,cf. H. aff. H. erectus,UTA,M. Muluila,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989; Brown et al., 2006",east
KNM-ER 2592b,KNM-ER 2592,B,1974,1976,1991,17,Kenya,Ileret,6,#,Koobi Fora,Okote,OKT Mb,1.49-1.65,1.38-1.56,C,Cranial frag.,cf. H. aff. H. erectus,cf. H. aff. H. erectus,UTA,M. Muluila,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989; Brown et al., 2006",east
KNM-ER 2593,KNM-ER 2593,#,1974,1976,1991,17,Kenya,Ileret,6,#,Koobi Fora,Okote,LKF + 1m,1.55-1.65,1.55-1.65,T,Tooth frag.,Hominine GSI,Hominine GSI,GSI,N. Mutiwa,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2594a,KNM-ER 2594,A,1974,1976,#,#,Kenya,Ileret,6A,#,Koobi Fora,Okote,MFB - 8m,1.48-1.58,1.48-1.58,P,L tibia prox.,Hominine GSI,Hominine GSI,GSI,#,"Leakey, 1976",Undescribed,"McHenry, 1994","Feibel et al., 1989",east
KNM-ER 2594b,KNM-ER 2594,B,1974,1976,#,#,Kenya,Ileret,6A,#,Koobi Fora,Okote,MFB - 8m,1.48-1.58,1.48-1.58,P,Tibia diaphysis frag.,Hominine GSI,Hominine GSI,GSI,#,"Leakey, 1976",Undescribed,"McHenry, 1994","Feibel et al., 1989",east
KNM-ER 2595,KNM-ER 2595,#,1974,1976,1991,17,Kenya,Ileret,1A,#,Koobi Fora,Okote,Mid OKT Mb,1.49-1.65,1.49-1.65,C,Small parietal frag.,cf. H. aff. H. ergaster,cf. H. aff. H. erectus,UTA,B. Ngeneo,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2596,KNM-ER 2596,#,1974,1976,1985,11,Kenya,Ileret,15,#,Koobi Fora,Upper Burgi,KBS - 9m,1.84-1.94,1.84-1.94,P,L tibia dist. frag.,Hominine GSI,Hominine GSI,GSI,B. Ngeneo,"Leakey, 1976","Leakey et Walker, 1985","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 2597,KNM-ER 2597,#,1974,1976,1985,11,Kenya,Ileret,15,#,Koobi Fora,KBS,KBS + 5m,1.85-1.90,1.85-1.90,T,m2or3,Homo sp.,Homo sp.,SPI,K. Kimeu,"Leakey, 1976","Leakey et Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2598,KNM-ER 2598,#,1974,1976,1985,11,Kenya,Ileret,13,#,Koobi Fora,Upper Burgi,KBS - 4m,1.88-1.90,1.86-1.93,C,Small occipital frag.,cf. H. aff. H. erectus,cf. H. aff. H. erectus,UTA,N. Mutiwa,"Leakey, 1976","Leakey et Walker, 1985","Wood, 1991","Feibel et al., 1989; Hammond et al., 2021",east
KNM-ER 2599,KNM-ER 2599,#,1974,1976,1991,17,Kenya,Ileret,15,#,Koobi Fora,KBS,KBS + 2m,1.88-1.90,1.88-1.90,T,Lp4 ling. part,Homo sp.,Homo sp.,SPI,M. Muluila,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2600,KNM-ER 2600,#,1974,1976,1991,17,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS CC,1.83-1.93,1.83-1.93,T,Partial lower m,Homo sp.,Homo sp.,SPI,M. Mbithi,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2601,KNM-ER 2601,#,1974,1976,1985,11,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,KBS -,1.88-1.90,1.88-1.90,T,Rdm2,Homo sp.,Homo sp.,SPI,B. Ngeneo,"Leakey, 1976","Leakey et Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602a,KNM-ER 2602,A,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Occipital frag.,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602b,KNM-ER 2602,B,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Cranial frag. with L and R parietal bones,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602c,KNM-ER 2602,C,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Parietal frag.,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602d,KNM-ER 2602,D,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Cranial frag.,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602e,KNM-ER 2602,E,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Cranial frag.,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602f,KNM-ER 2602,F,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Cranial frag.,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2602g,KNM-ER 2602,G,1974,1976,1985,11,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL Mb,3.15-3.35,3.15-3.35,C,Cranial frag.,Australopithecus sp.,A. afarensis,CTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Kimbel, 1988; Wood, 1991","Feibel et al., 1989",east
KNM-ER 2603,KNM-ER 2603,#,1974,1976,1991,17,Kenya,Koobi Fora,117,#,Koobi Fora,Lokochot,TUL - 2m,3.35-3.45,3.35-3.45,T,Tooth frag.,Hominine GSI,Homo sp.,GSI,K. Kimeu,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2604,KNM-ER 2604,#,1974,1976,1991,17,Kenya,Koobi Fora,117,#,Koobi Fora,Tulu Bor,TUL + 2m,3.30-3.35,3.30-3.35,T,Tooth frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2605,KNM-ER 2605,#,1974,1976,1991,17,Kenya,Koobi Fora,117,#,Koobi Fora,Lokochot,TUL - 2m,3.35-3.45,3.35-3.45,T,Tooth frag.,Hominine GSI,Hominine GSI,GSI,M.G. Leakey,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2606,KNM-ER 2606,#,1974,1976,1991,17,Kenya,Koobi Fora,117,#,Koobi Fora,Lokochot,TUL - 2m,3.35-3.45,3.35-3.45,T,Tooth frag.,Hominine GSI,Hominine GSI,GSI,J. Harris,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 2607,KNM-ER 2607,#,1972,1976,1991,19,Kenya,Koobi Fora,105,#,Koobi Fora,KBS,,1.67-1.87,1.67-1.87,T,Lower m frag.,P. cf. P. boisei,P. cf. P. boisei,UTA,J.M. Harris and A.K. Behrensmeyer,"Leakey, 1976","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3228,KNM-ER 3228,#,1974,1976,1984,10,Kenya,Koobi Fora,102,#,Koobi Fora,Upper Burgi,C1-10m,1.90-2.00,1.90-1.93,P,Pelvic bone,H. habilis,H. rudolfensis,NTN,B. Ngeneo,"Leakey, 1976","Rose, 1984","Wood, 1991; McHenry and Coffing, 2000","Feibel et al., 1989; Phillips et al., 2023",east
KNM-ER 3229,KNM-ER 3229,#,1975,1985,1985,10,Kenya,Koobi Fora,102,#,Koobi Fora,KBS,C4-2m,1.80-1.90,1.82-1.85,M,Fragmentary mandible,P. boisei,P. boisei,CTA,B. Ngeneo,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; Phillips et al., 2023",east
KNM-ER 3230,KNM-ER 3230,#,1974,1976,1985,11,Kenya,Koobi Fora,131,#,Koobi Fora,Okote,in OKT,1.60-1.70,1.60-1.70,M,Mandible without ramus,P. boisei,P. boisei,CTA,K. Kitbi,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3728,KNM-ER 3728,#,#,1976,1985,#,Kenya,Koobi Fora,100,#,Koobi Fora,Upper Burgi,C2 + 5m,1.84-1.94,1.84-1.94,P,L Femur,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1976","Leakey and Walker, 1985","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 3729,KNM-ER 3729,#,1975,1976,1985,10,Kenya,Koobi Fora,102,#,Koobi Fora,Upper Burgi,C4 - 13m,1.88-1.90,1.84-1.90,M,L mandibular body,P. boisei,P. boisei,CTA,K. Kimeu,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; Phillips et al., 2023",east
KNM-ER 3731,KNM-ER 3731,#,1975,1976,1985,10,Kenya,Koobi Fora,115,#,Koobi Fora,Upper Burgi,GPC + 1m,1.88-1.90,1.88-1.90,M,L mandibular body,P. cf. P. boisei,P. cf. P. boisei,UTA,W. Mangao,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3732,KNM-ER 3732,#,1975,1976,1985,10,Kenya,Koobi Fora,115,#,Koobi Fora,Upper Burgi,GPC + 1m,1.88-1.90,1.88-1.90,C,Calvaria + frag. L sup. face,H. habilis,H. rudolfensis,NTN,M. Muluila,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3733,KNM-ER 3733,#,1975,1976,1985,10,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2 + 6m,1.73-1.83,1.2-1.98,C,Skull,H. erectus,H. ergaster,NTN,B. Ngeneo,"Leakey and Walker, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Lepre and Kent, 2015; Phillips et al., 2023",east
KNM-ER 3734,KNM-ER 3734,#,1975,1976,1985,10,Kenya,Koobi Fora,115,#,Koobi Fora,Upper Burgi,GPC + 1m,1.88-1.90,1.88-1.90,M,L mandibular body with C-m2,Homo sp.,Homo sp.,SPI,M. Harrison,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735a,KNM-ER 3735,a,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,C,L temporal,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735b,KNM-ER 3735,b,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,C,L zygomatic,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735c,KNM-ER 3735,c,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,C,More than 50 cranial frags.,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735d,KNM-ER 3735,d,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,Sacrum frag.,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735e,KNM-ER 3735,e,1975,1976,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,R distal humerus,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey, 1976","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735f,KNM-ER 3735,f,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,L prox. Radius,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735g,KNM-ER 3735,g,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,Prox. dist. phalanx,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735h,KNM-ER 3735,h,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,Prox. dist. phalanx,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735i,KNM-ER 3735,i,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,R femur diaphysis dist. frag.,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3735j,KNM-ER 3735,j,1975,1985,1985,10,Kenya,Koobi Fora,116,#,Koobi Fora,Upper Burgi,F - 4m,1.88-1.90,1.88-1.90,P,Tibia diaphysis frag.,H. habilis,H. habilis,NTN,K. Kimeu,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3736,KNM-ER 3736,#,1975,1976,1985,10,Kenya,Koobi Fora,105,#,Koobi Fora,Upper Burgi,KBS - 6m,1.84-1.94,1.84-1.94,P,L radius 1/2 prox.,Hominine GSI,Hominine GSI,GSI,#,"Leakey, 1976","Leakey and Walker, 1985","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 3737a,KNM-ER 3737,A,1971,1972,1991,20,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.45-1.64,T,RM3 crown frag.,P. boisei,P. boisei,CTA,Team,"Leakey, 1972","Wood, 1991","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 3737b,KNM-ER 3737,B,1971,1972,1991,20,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.45-1.64,T,Rm1 broken crown,P. boisei,P. boisei,CTA,Team,"Leakey, 1972","Wood, 1991","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 3883,KNM-ER 3883,#,1976,1985,1985,9,Kenya,Ileret,1,#,Koobi Fora,Okote,OKT Mb,1.49-1.65,1.49-1.65,C,Skull with sup. half of face,H. erectus,H. ergaster,NTN,R.E. Leakey and M. Muluila,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3885,KNM-ER 3885,#,1976,1985,1985,9,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2 - 4m,1.73-1.83,1.73-1.83,T,Rp4,P. boisei,P. boisei,CTA,J. Kioke,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; Lepre and Kent, 2015",east
KNM-ER 3886,KNM-ER 3886,#,1976,1985,1985,9,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2 - 4m,1.73-1.83,1.73-1.83,T,LDM2,P. cf. P. boisei,P. cf. P. boisei,UTA,P. Nzube,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; Lepre and Kent, 2015",east
KNM-ER 3887,KNM-ER 3887,#,1976,1985,1985,9,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 10m,1.49-1.55,1.49-1.55,T,RM3,P. cf. P. boisei,P. cf. P. boisei,UTA,#,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3888,KNM-ER 3888,#,1976,1985,1985,9,Kenya,Ileret,1,#,Koobi Fora,Okote,#,1.49-1.65,1.49-1.65,P,R radius prox. frag.,Hominine GSI,Hominine GSI,GSI,#,"Leakey and Walker, 1985","Leakey and Walker, 1985","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 3889,KNM-ER 3889,#,1976,1985,1985,9,Kenya,Ileret,1,#,Koobi Fora,Okote,ILN + 12m,1.48-1.58,1.40-1.50,M,Mandibular symphysis frag.,P. cf. P. boisei,P. cf. P. boisei,UTA,#,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 3890,KNM-ER 3890,#,1976,1985,1985,9,Kenya,Ileret,6A,#,Koobi Fora,KBS,LIL - 8m,1.65-1.75,1.54-1.64,T,Lm1,P. boisei,P. boisei,CTA,#,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; Deduced from McDougall et al., 2012",east
KNM-ER 3891,KNM-ER 3891,#,1976,1985,1985,9,Kenya,Koobi Fora,105,#,Koobi Fora,KBS,#,1.67-1.87,1.67-1.87,C,Cranial frags.,H. habilis,H. rudolfensis,NTN,W. Mangao,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989",east
KNM-ER 3892,KNM-ER 3892,#,1976,1985,1985,9,Kenya,Koobi Fora,103,#,Koobi Fora,Okote,A7 + 5m,1.48-1.58,1.39-1.47,C,L frontal frag.,H. aff. H. ergaster,H. aff. H. erectus,NTA,W. Mangao,"Leakey and Walker, 1985","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
